asset,conditioning_asset,quantile_level,simulated_tail_dependence
BBVA.MC,BBVA.MC,0.9,1.0
BBVA.MC,BNP.PA,0.9,0.545258
BBVA.MC,CBK.DE,0.9,0.464247
BBVA.MC,DBK.DE,0.9,0.522952
BBVA.MC,GLE.PA,0.9,0.540733
BBVA.MC,INGA.AS,0.9,0.519461
BBVA.MC,ISP.MI,0.9,0.538614
BBVA.MC,SAN.MC,0.9,0.690758
BNP.PA,BBVA.MC,0.9,0.562525
BNP.PA,BNP.PA,0.9,1.0
BNP.PA,CBK.DE,0.9,0.491818
BNP.PA,DBK.DE,0.9,0.563656
BNP.PA,GLE.PA,0.9,0.634093
BNP.PA,INGA.AS,0.9,0.563336
BNP.PA,ISP.MI,0.9,0.542988
BNP.PA,SAN.MC,0.9,0.580119
CBK.DE,BBVA.MC,0.9,0.473594
CBK.DE,BNP.PA,0.9,0.48632
CBK.DE,CBK.DE,0.9,1.0
CBK.DE,DBK.DE,0.9,0.547155
CBK.DE,GLE.PA,0.9,0.503667
CBK.DE,INGA.AS,0.9,0.484599
CBK.DE,ISP.MI,0.9,0.467051
CBK.DE,SAN.MC,0.9,0.484867
DBK.DE,BBVA.MC,0.9,0.529037
DBK.DE,BNP.PA,0.9,0.552712
DBK.DE,CBK.DE,0.9,0.542596
DBK.DE,DBK.DE,0.9,1.0
DBK.DE,GLE.PA,0.9,0.55332
DBK.DE,INGA.AS,0.9,0.536595
DBK.DE,ISP.MI,0.9,0.505318
DBK.DE,SAN.MC,0.9,0.548335
GLE.PA,BBVA.MC,0.9,0.552003
GLE.PA,BNP.PA,0.9,0.627439
GLE.PA,CBK.DE,0.9,0.504017
GLE.PA,DBK.DE,0.9,0.558356
GLE.PA,GLE.PA,0.9,1.0
GLE.PA,INGA.AS,0.9,0.539962
GLE.PA,ISP.MI,0.9,0.538117
GLE.PA,SAN.MC,0.9,0.562608
INGA.AS,BBVA.MC,0.9,0.530656
INGA.AS,BNP.PA,0.9,0.557811
INGA.AS,CBK.DE,0.9,0.485272
INGA.AS,DBK.DE,0.9,0.541854
INGA.AS,GLE.PA,0.9,0.540337
INGA.AS,INGA.AS,0.9,1.0
INGA.AS,ISP.MI,0.9,0.52132
INGA.AS,SAN.MC,0.9,0.541654
ISP.MI,BBVA.MC,0.9,0.54826
ISP.MI,BNP.PA,0.9,0.535746
ISP.MI,CBK.DE,0.9,0.466032
ISP.MI,DBK.DE,0.9,0.508451
ISP.MI,GLE.PA,0.9,0.536571
ISP.MI,INGA.AS,0.9,0.519461
ISP.MI,ISP.MI,0.9,1.0
ISP.MI,SAN.MC,0.9,0.548942
SAN.MC,BBVA.MC,0.9,0.690409
SAN.MC,BNP.PA,0.9,0.562028
SAN.MC,CBK.DE,0.9,0.475057
SAN.MC,DBK.DE,0.9,0.541754
SAN.MC,GLE.PA,0.9,0.550842
SAN.MC,INGA.AS,0.9,0.529959
SAN.MC,ISP.MI,0.9,0.539012
SAN.MC,SAN.MC,0.9,1.0
BBVA.MC,BBVA.MC,0.95,1.0
BBVA.MC,BNP.PA,0.95,0.514511
BBVA.MC,CBK.DE,0.95,0.418665
BBVA.MC,DBK.DE,0.95,0.480024
BBVA.MC,GLE.PA,0.95,0.503087
BBVA.MC,INGA.AS,0.95,0.482759
BBVA.MC,ISP.MI,0.95,0.501689
BBVA.MC,SAN.MC,0.95,0.662246
BNP.PA,BBVA.MC,0.95,0.515122
BNP.PA,BNP.PA,0.95,1.0
BNP.PA,CBK.DE,0.95,0.445244
BNP.PA,DBK.DE,0.95,0.519386
BNP.PA,GLE.PA,0.95,0.597291
BNP.PA,INGA.AS,0.95,0.525662
BNP.PA,ISP.MI,0.95,0.50904
BNP.PA,SAN.MC,0.95,0.525417
CBK.DE,BBVA.MC,0.95,0.414113
CBK.DE,BNP.PA,0.95,0.439882
CBK.DE,CBK.DE,0.95,1.0
CBK.DE,DBK.DE,0.95,0.484944
CBK.DE,GLE.PA,0.95,0.450508
CBK.DE,INGA.AS,0.95,0.435245
CBK.DE,ISP.MI,0.95,0.412279
CBK.DE,SAN.MC,0.95,0.428973
DBK.DE,BBVA.MC,0.95,0.482111
DBK.DE,BNP.PA,0.95,0.521027
DBK.DE,CBK.DE,0.95,0.492406
DBK.DE,DBK.DE,0.95,1.0
DBK.DE,GLE.PA,0.95,0.510655
DBK.DE,INGA.AS,0.95,0.493785
DBK.DE,ISP.MI,0.95,0.458573
DBK.DE,SAN.MC,0.95,0.505927
GLE.PA,BBVA.MC,0.95,0.499308
GLE.PA,BNP.PA,0.95,0.592103
GLE.PA,CBK.DE,0.95,0.452038
GLE.PA,DBK.DE,0.95,0.504625
GLE.PA,GLE.PA,0.95,1.0
GLE.PA,INGA.AS,0.95,0.500802
GLE.PA,ISP.MI,0.95,0.491556
GLE.PA,SAN.MC,0.95,0.50653
INGA.AS,BBVA.MC,0.95,0.475983
INGA.AS,BNP.PA,0.95,0.51767
INGA.AS,CBK.DE,0.95,0.433853
INGA.AS,DBK.DE,0.95,0.484747
INGA.AS,GLE.PA,0.95,0.49751
INGA.AS,INGA.AS,0.95,1.0
INGA.AS,ISP.MI,0.95,0.468905
INGA.AS,SAN.MC,0.95,0.480008
ISP.MI,BBVA.MC,0.95,0.49911
ISP.MI,BNP.PA,0.95,0.505824
ISP.MI,CBK.DE,0.95,0.414668
ISP.MI,DBK.DE,0.95,0.454241
ISP.MI,GLE.PA,0.95,0.492731
ISP.MI,INGA.AS,0.95,0.473136
ISP.MI,ISP.MI,0.95,1.0
ISP.MI,SAN.MC,0.95,0.497689
SAN.MC,BBVA.MC,0.95,0.651512
SAN.MC,BNP.PA,0.95,0.516288
SAN.MC,CBK.DE,0.95,0.426659
SAN.MC,DBK.DE,0.95,0.495572
SAN.MC,GLE.PA,0.95,0.502091
SAN.MC,INGA.AS,0.95,0.478949
SAN.MC,ISP.MI,0.95,0.492152
SAN.MC,SAN.MC,0.95,1.0
BBVA.MC,BBVA.MC,0.975,1.0
BBVA.MC,BNP.PA,0.975,0.486401
BBVA.MC,CBK.DE,0.975,0.372643
BBVA.MC,DBK.DE,0.975,0.424911
BBVA.MC,GLE.PA,0.975,0.47651
BBVA.MC,INGA.AS,0.975,0.458466
BBVA.MC,ISP.MI,0.975,0.461384
BBVA.MC,SAN.MC,0.975,0.648958
BNP.PA,BBVA.MC,0.975,0.486018
BNP.PA,BNP.PA,0.975,1.0
BNP.PA,CBK.DE,0.975,0.408343
BNP.PA,DBK.DE,0.975,0.485219
BNP.PA,GLE.PA,0.975,0.575207
BNP.PA,INGA.AS,0.975,0.496805
BNP.PA,ISP.MI,0.975,0.480692
BNP.PA,SAN.MC,0.975,0.512056
CBK.DE,BBVA.MC,0.975,0.365892
CBK.DE,BNP.PA,0.975,0.401261
CBK.DE,CBK.DE,0.975,1.0
CBK.DE,DBK.DE,0.975,0.450138
CBK.DE,GLE.PA,0.975,0.397947
CBK.DE,INGA.AS,0.975,0.401757
CBK.DE,ISP.MI,0.975,0.377715
CBK.DE,SAN.MC,0.975,0.384553
DBK.DE,BBVA.MC,0.975,0.424577
DBK.DE,BNP.PA,0.975,0.485219
DBK.DE,CBK.DE,0.975,0.458083
DBK.DE,DBK.DE,0.975,1.0
DBK.DE,GLE.PA,0.975,0.479668
DBK.DE,INGA.AS,0.975,0.444089
DBK.DE,ISP.MI,0.975,0.427997
DBK.DE,SAN.MC,0.975,0.465877
GLE.PA,BBVA.MC,0.975,0.475384
GLE.PA,BNP.PA,0.975,0.5743
GLE.PA,CBK.DE,0.975,0.404332
GLE.PA,DBK.DE,0.975,0.478912
GLE.PA,GLE.PA,0.975,1.0
GLE.PA,INGA.AS,0.975,0.460064
GLE.PA,ISP.MI,0.975,0.45897
GLE.PA,SAN.MC,0.975,0.491622
INGA.AS,BBVA.MC,0.975,0.452147
INGA.AS,BNP.PA,0.975,0.490343
INGA.AS,CBK.DE,0.975,0.40353
INGA.AS,DBK.DE,0.975,0.438313
INGA.AS,GLE.PA,0.975,0.454797
INGA.AS,INGA.AS,0.975,1.0
INGA.AS,ISP.MI,0.975,0.426388
INGA.AS,SAN.MC,0.975,0.455251
ISP.MI,BBVA.MC,0.975,0.451753
ISP.MI,BNP.PA,0.975,0.471029
ISP.MI,CBK.DE,0.975,0.376655
ISP.MI,DBK.DE,0.975,0.419393
ISP.MI,GLE.PA,0.975,0.450454
ISP.MI,INGA.AS,0.975,0.423323
ISP.MI,ISP.MI,0.975,1.0
ISP.MI,SAN.MC,0.975,0.478545
SAN.MC,BBVA.MC,0.975,0.625443
SAN.MC,BNP.PA,0.975,0.49389
SAN.MC,CBK.DE,0.975,0.377457
SAN.MC,DBK.DE,0.975,0.44935
SAN.MC,GLE.PA,0.975,0.474931
SAN.MC,INGA.AS,0.975,0.444888
SAN.MC,ISP.MI,0.975,0.471038
SAN.MC,SAN.MC,0.975,1.0
